'Crate name', 'Successful verification', 'Whitelist items', 'Verified items', 'Successful items', 'Duration (s)', 'Exit status', 'Start', 'End', 'Parsing duration', 'Type-checking duration', 'Encoding duration', 'Verification duration'
'034_strsim', true, 0, 0, 0, 5, 0, '2018-11-15 02:48:24', '2018-11-15 02:48:29', 0.0, 0.0, 0.0, 1.10
'035_void', true, 1, 1, 1, 4, 0, '2018-11-15 02:48:29', '2018-11-15 02:48:33', 0.0, 0.0, 0.0, 1.26
'036_unicode-bidi', true, 1, 1, 1, 15, 0, '2018-11-15 02:48:33', '2018-11-15 02:48:48', 0.1, 0.0, 0.0, 1.55
'037_num', true, 0, 0, 0, 82, 0, '2018-11-15 02:48:48', '2018-11-15 02:50:10', 0.0, 0.0, 0.0, 1.9
'038_unreachable', true, 0, 0, 0, 6, 0, '2018-11-15 02:50:10', '2018-11-15 02:50:16', 0.0, 0.0, 0.0, 1.9
'039_dtoa', true, 4, 4, 4, 7, 0, '2018-11-15 02:50:16', '2018-11-15 02:50:23', 0.0, 0.0, 0.17, 4.22
'041_idna', true, 0, 0, 0, 126, 0, '2018-11-15 02:50:23', '2018-11-15 02:52:29', 0.0, 0.0, 0.0, 1.16
'042_clap', true, 73, 73, 73, 160, 0, '2018-11-15 02:52:29', '2018-11-15 02:55:09', 0.8, 0.0, 0.40, 6.28
'043_openssl-sys', true, 0, 0, 0, 41, 0, '2018-11-15 02:55:09', '2018-11-15 02:55:50', 0.2, 0.0, 0.0, 1.14
'044_num-iter', true, 0, 0, 0, 33, 0, '2018-11-15 02:55:50', '2018-11-15 02:56:23', 0.0, 0.0, 0.0, 1.17
'045_ansi_term', true, 8, 8, 8, 136, 0, '2018-11-15 02:56:23', '2018-11-15 02:58:39', 0.0, 0.0, 2.99, 125.65
'046_unicase', true, 0, 0, 0, 13, 0, '2018-11-15 02:58:39', '2018-11-15 02:58:52', 0.1, 0.0, 0.0, 1.8
'048_mime', true, 1, 1, 1, 20, 0, '2018-11-15 02:58:52', '2018-11-15 02:59:12', 0.0, 0.0, 0.1, 1.59
'049_vec_map', true, 1, 1, 1, 4, 0, '2018-11-15 02:59:12', '2018-11-15 02:59:16', 0.0, 0.0, 0.0, 1.13
'050_chrono', true, 13, 13, 13, 130, 0, '2018-11-15 02:59:16', '2018-11-15 03:01:27', 0.6, 0.0, 0.69, 59.13
'051_unicode-width', true, 2, 2, 2, 4, 0, '2018-11-15 03:01:27', '2018-11-15 03:01:31', 0.0, 0.0, 0.1, 1.46
'052_slab', true, 0, 0, 0, 4, 0, '2018-11-15 03:01:31', '2018-11-15 03:01:35', 0.0, 0.0, 0.0, 1.9
'053_cc', true, 0, 0, 0, 20, 0, '2018-11-15 03:01:35', '2018-11-15 03:01:55', 0.0, 0.0, 0.0, 1.8
'054_term', true, 0, 0, 0, 19, 0, '2018-11-15 03:01:55', '2018-11-15 03:02:14', 0.1, 0.0, 0.0, 1.11
'055_thread-id', true, 1, 1, 1, 10, 0, '2018-11-15 03:02:14', '2018-11-15 03:02:24', 0.0, 0.0, 0.0, 1.20
'056_atty', true, 1, 1, 1, 10, 0, '2018-11-15 03:02:24', '2018-11-15 03:02:34', 0.0, 0.0, 0.0, 1.32
'057_openssl', true, 149, 149, 149, 110, 0, '2018-11-15 03:02:34', '2018-11-15 03:04:24', 0.8, 0.0, 1.22, 10.57
'058_backtrace', true, 1, 1, 1, 44, 0, '2018-11-15 03:04:24', '2018-11-15 03:05:08', 0.0, 0.0, 0.3, 1.49
'059_tempdir', true, 0, 0, 0, 28, 0, '2018-11-15 03:05:08', '2018-11-15 03:05:36', 0.0, 0.0, 0.0, 1.6
'060_httparse', true, 1, 1, 1, 14, 0, '2018-11-15 03:05:36', '2018-11-15 03:05:50', 0.0, 0.0, 0.1, 1.50
'061_rustc_version', true, 0, 0, 0, 23, 0, '2018-11-15 03:05:50', '2018-11-15 03:06:13', 0.0, 0.0, 0.0, 1.11
'062_error-chain', true, 0, 0, 0, 52, 0, '2018-11-15 03:06:13', '2018-11-15 03:07:05', 0.0, 0.0, 0.0, 1.9
