"Crate name","Successful verification","Whitelist items","Verified items","Successful items","Duration (s)","Exit status","Start","End","Parsing duration","Type-checking duration","Encoding duration","Verification duration"
"225_termion",true,1,1,1,18,0,"2018-11-16 00:32:35","2018-11-16 00:32:53",0.0,0.0,0.0,1.79
"227_winapi-x86_64-pc-windows-gnu",true,0,0,0,8,0,"2018-11-16 00:32:53","2018-11-16 00:33:01",0.0,0.0,0.0,1.45
"232_tokio-udp",true,0,0,0,108,0,"2018-11-16 00:33:01","2018-11-16 00:34:49",0.0,0.0,0.0,1.43
"233_tokio-tcp",true,0,0,0,108,0,"2018-11-16 00:34:49","2018-11-16 00:36:37",0.0,0.0,0.0,1.39
"234_png",true,23,23,23,56,0,"2018-11-16 00:36:37","2018-11-16 00:37:33",0.1,0.0,0.15,3.54
"236_typenum",true,36,36,36,14,0,"2018-11-16 00:37:33","2018-11-16 00:37:47",0.1,0.0,0.7,2.40
"238_winapi-i686-pc-windows-gnu",true,0,0,0,8,0,"2018-11-16 00:37:47","2018-11-16 00:37:55",0.0,0.0,0.0,1.45
"242_quasi_codegen",true,0,0,0,353,0,"2018-11-16 00:37:55","2018-11-16 00:43:48",0.0,0.0,0.0,1.42
"243_tokio-tls",true,0,0,0,99,0,"2018-11-16 00:43:48","2018-11-16 00:45:27",0.0,0.0,0.0,1.54
"244_bit-vec",true,15,15,15,6,0,"2018-11-16 00:45:27","2018-11-16 00:45:33",0.0,0.0,0.3,1.94
"246_home",true,1,1,1,5,0,"2018-11-16 00:45:33","2018-11-16 00:45:38",0.0,0.0,0.3,2.16
"248_ring",true,2,2,2,53,0,"2018-11-16 00:45:38","2018-11-16 00:46:31",0.5,0.0,0.0,1.70
"249_libloading",true,1,1,1,24,0,"2018-11-16 00:46:31","2018-11-16 00:46:55",0.0,0.0,0.1,1.58
"250_redox_termios",true,0,0,0,11,0,"2018-11-16 00:46:55","2018-11-16 00:47:06",0.0,0.0,0.0,1.40
"251_shared_library",true,0,0,0,12,0,"2018-11-16 00:47:06","2018-11-16 00:47:19",0.0,0.0,0.0,1.42
"252_rls-data",true,0,0,0,81,0,"2018-11-16 00:47:19","2018-11-16 00:48:40",0.0,0.0,0.0,1.49
"253_inflate",true,2,2,2,16,0,"2018-11-16 00:48:40","2018-11-16 00:48:56",0.0,0.0,0.1,2.9
"254_schannel",true,0,0,0,208,0,"2018-11-16 00:48:56","2018-11-16 00:52:24",0.1,0.0,0.0,1.37
"257_build_const",true,1,1,1,5,0,"2018-11-16 00:52:24","2018-11-16 00:52:30",0.0,0.0,0.1,1.96
"258_gif",true,0,0,0,18,0,"2018-11-16 00:52:30","2018-11-16 00:52:48",0.0,0.0,0.0,1.38
"261_tendril",true,6,6,6,27,0,"2018-11-16 00:52:48","2018-11-16 00:53:15",0.1,0.0,0.1,1.64
"262_mac",true,0,0,0,4,0,"2018-11-16 00:53:15","2018-11-16 00:53:19",0.0,0.0,0.0,1.45
"263_utf-8",true,0,0,0,4,0,"2018-11-16 00:53:19","2018-11-16 00:53:24",0.0,0.0,0.0,1.49
"264_futf",true,0,0,0,19,0,"2018-11-16 00:53:24","2018-11-16 00:53:43",0.0,0.0,0.0,1.40
"265_modifier",true,0,0,0,4,0,"2018-11-16 00:53:43","2018-11-16 00:53:47",0.0,0.0,0.0,1.51
"266_plugin",true,0,0,0,15,0,"2018-11-16 00:53:47","2018-11-16 00:54:02",0.0,0.0,0.0,1.45
"267_pnacl-build-helper",true,0,0,0,37,0,"2018-11-16 00:54:02","2018-11-16 00:54:39",0.0,0.0,0.0,1.42
"269_bit-set",true,0,0,0,10,0,"2018-11-16 00:54:39","2018-11-16 00:54:49",0.0,0.0,0.0,1.35
"270_rls-span",true,12,12,12,11,0,"2018-11-16 00:54:49","2018-11-16 00:55:00",0.0,0.0,0.26,4.19
"271_lzw",true,3,3,3,7,0,"2018-11-16 00:55:00","2018-11-16 00:55:07",0.0,0.0,0.2,2.31
"274_digest",true,1,1,1,22,0,"2018-11-16 00:55:07","2018-11-16 00:55:30",0.0,0.0,0.0,1.63
"275_color_quant",true,0,0,0,5,0,"2018-11-16 00:55:30","2018-11-16 00:55:35",0.0,0.0,0.0,1.39
"276_lzma-sys",true,0,0,0,29,0,"2018-11-16 00:55:35","2018-11-16 00:56:04",0.0,0.0,0.0,1.43
"277_iron",true,2,2,2,1315,0,"2018-11-16 00:56:04","2018-11-16 01:17:59",0.0,0.0,0.1,1.80
"278_tokio-fs",true,6,6,6,85,0,"2018-11-16 01:17:59","2018-11-16 01:19:24",0.0,0.0,0.16,4.4
"279_xz2",true,0,0,0,34,0,"2018-11-16 01:19:24","2018-11-16 01:19:58",0.0,0.0,0.0,1.45
"280_shlex",true,0,0,0,4,0,"2018-11-16 01:19:58","2018-11-16 01:20:02",0.0,0.0,0.0,1.36
